1;3;0;0;0;4;0
2;4;0;5;-2;1;0
3;1;-2;4;-3;0;0
4;0;0;3;-1;0;0
5;0;0;0;-2;3;-2
6;0;-5;6;-5;0;-1
7;3;0;3;0;1;-3
8;2;-3;0;0;3;0
9;5;0;6;-4;2;-3
10;0;-3;0;0;8;-4
11;2;-5;0;-3;1;-3
12;0;-1;0;-2;0;0
13;8;-3;0;-4;8;0
14;0;0;0;-1;3;-6
15;0;0;3;0;5;-4
16;4;-6;2;-1;6;-5
17;2;-4;8;-6;0;0
18;0;-1;4;-5;3;-6
19;0;0;1;-6;0;0
20;2;-3;0;0;2;-4
21;7;0;5;0;3;-3
22;3;0;0;0;4;-4
23;4;-6;5;-3;7;-2
24;0;0;0;-5;8;-7
25;0;0;6;-2;9;-4
26;0;0;0;-4;5;0
27;4;0;3;-2;0;0
28;0;-6;2;-3;2;-4
29;0;-4;4;-6;1;-6
30;0;0;7;-2;0;-12
31;0;-2;8;-6;0;-5
32;10;0;0;-3;4;-2
33;0;0;0;-4;3;-4
34;5;-8;0;0;4;0
35;2;0;9;-3;6;0
36;0;-3;0;-2;8;-4
37;0;0;6;-4;3;-2
38;0;0;8;-5;6;-3
39;3;-2;0;-5;5;-4
40;2;-4;4;-3;2;0
